,code,name,lot_size,stock_type
263,HK.00273,民信金控,20000,STOCK
264,HK.00274,中富資源,40000,STOCK
265,HK.00275,凱華集團,10000,STOCK
266,HK.00276,蒙古能源,3000,STOCK
267,HK.00277,太興置業,2000,STOCK
268,HK.00278,華廈置業,2000,STOCK
269,HK.00279,民眾金融科技,20000,STOCK
270,HK.00280,景福集團,2000,STOCK
271,HK.00281,川河集團,2000,STOCK
272,HK.00282,壹傳媒,2000,STOCK
273,HK.00283,高銀地產,2000,STOCK
274,HK.00285,比亞迪電子,500,STOCK
275,HK.00286,同佳健康,2000,STOCK
276,HK.00287,永發置業,2000,STOCK
277,HK.00288,萬洲國際,500,STOCK
278,HK.00289,永安百貨,1000,STOCK
279,HK.00290,中國富強金融,2000,STOCK
280,HK.00291,華潤啤酒,2000,STOCK
281,HK.00292,泛海酒店,10000,STOCK
282,HK.00293,國泰航空,1000,STOCK
283,HK.00294,長江製衣,1000,STOCK
284,HK.00295,江山控股,25000,STOCK
285,HK.00296,英皇娛樂酒店,5000,STOCK
286,HK.00297,中化化肥,2000,STOCK
287,HK.00298,莊士中國,10000,STOCK
288,HK.00299,新體育,10000,STOCK
289,HK.00300,昆明機床,2000,STOCK
290,HK.00303,偉易達,100,STOCK
291,HK.00305,五菱汽車,10000,STOCK
292,HK.00306,冠忠巴士集團,2000,STOCK
293,HK.00307,優派能源發展,2000,STOCK
294,HK.00308,香港中旅,2000,STOCK
295,HK.00309,新華通訊頻媒,1000,STOCK
296,HK.00310,嘉進投資國際,15000,STOCK
297,HK.00311,聯泰控股,1000,STOCK
298,HK.00312,歲寶百貨,2000,STOCK
299,HK.00313,裕田中國,50000,STOCK
300,HK.00315,數碼通電訊,500,STOCK
301,HK.00316,東方海外國際,500,STOCK
302,HK.00317,中船防務,2000,STOCK
303,HK.00318,黃河實業,5000,STOCK
304,HK.00319,勤美達國際,2000,STOCK
305,HK.00320,金寶通,2000,STOCK
306,HK.00321,德永佳集團,2000,STOCK
307,HK.00322,康師傅控股,2000,STOCK
308,HK.00323,馬鞍山鋼鐵股份,2000,STOCK
309,HK.00326,中國星集團,10000,STOCK
310,HK.00327,百富環球,1000,STOCK
311,HK.00328,愛高集團,2000,STOCK
312,HK.00329,叁龍國際,4000,STOCK
313,HK.00330,思捷環球,100,STOCK
314,HK.00331,豐盛機電,1000,STOCK
315,HK.00332,元亨燃氣,4000,STOCK
316,HK.00333,黛麗斯國際,2000,STOCK
317,HK.00334,TCL顯示科技,8000,STOCK
318,HK.00335,美建集團,2000,STOCK
319,HK.00336,華寶國際,1000,STOCK
320,HK.00337,綠地香港,1000,STOCK
321,HK.00338,上海石油化工股份,2000,STOCK
322,HK.00339,安利時投資,10000,STOCK
323,HK.00340,中國礦業,2000,STOCK
324,HK.00341,大家樂集團,2000,STOCK
325,HK.00342,新海能源,2000,STOCK
326,HK.00343,文化傳信,5000,STOCK
327,HK.00345,維他奶國際,2000,STOCK
328,HK.00346,延長石油國際,10000,STOCK
329,HK.00347,鞍鋼股份,2000,STOCK
330,HK.00348,中國智能健康,2000,STOCK
331,HK.00351,亞洲能源物流,10000,STOCK
332,HK.00352,富陽,2000,STOCK
333,HK.00353,能源國際投資,20000,STOCK
334,HK.00354,中國軟件國際,2000,STOCK
335,HK.00355,世紀城市國際,4000,STOCK
336,HK.00356,鼎立資本,30000,STOCK
337,HK.00357,航基股份,1000,STOCK
338,HK.00358,江西銅業股份,1000,STOCK
339,HK.00359,海升果汁,4000,STOCK
340,HK.00360,新焦點,4000,STOCK
341,HK.00361,順龍控股,20000,STOCK
342,HK.00362,中國天化工,10000,STOCK
343,HK.00363,上海實業控股,1000,STOCK
344,HK.00364,坪山茶業,4000,STOCK
345,HK.00365,紫光控股,2000,STOCK
346,HK.00366,陸氏集團(越南),2000,STOCK
347,HK.00367,莊士機構國際,4000,STOCK
348,HK.00368,中外運航運,500,STOCK
349,HK.00369,永泰地產,2000,STOCK
350,HK.00370,國華,20000,STOCK
351,HK.00371,北控水務集團,2000,STOCK
352,HK.00372,德祥企業,2000,STOCK
353,HK.00373,聯合集團,2000,STOCK
354,HK.00374,四洲集團,2000,STOCK
355,HK.00375,YGM貿易,1000,STOCK
356,HK.00376,雲鋒金融,2000,STOCK
357,HK.00377,華君控股,4000,STOCK
358,HK.00378,五龍動力,2000,STOCK
359,HK.00379,恒嘉融資租賃,10000,STOCK
360,HK.00380,冠力國際,4000,STOCK
361,HK.00381,僑雄國際,10000,STOCK
362,HK.00382,威靈控股,2000,STOCK
363,HK.00383,中國醫療網絡,10000,STOCK
364,HK.00384,中國燃氣,2000,STOCK
365,HK.00385,建聯集團,2000,STOCK
366,HK.00386,中國石油化工股份,2000,STOCK
367,HK.00387,力豐(集團),4000,STOCK
368,HK.00388,香港交易所,100,STOCK
369,HK.00389,通天酒業,2000,STOCK
370,HK.00390,中國中鐵,1000,STOCK
371,HK.00391,美亞娛樂資訊,20000,STOCK
372,HK.00392,北京控股,500,STOCK
373,HK.00393,旭日企業,4000,STOCK
374,HK.00395,中國智能集團,8000,STOCK
375,HK.00396,興利(香港)控股,2000,STOCK
376,HK.00397,君陽金融,10000,STOCK
377,HK.00398,東方表行集團,2000,STOCK
