,code,name,lot_size,stock_type,stock_child_type,owner_stock_code
5180,HK.64754,恒指法兴七六熊P.P,10000,WARRANT,BEAR,HK.800000
5181,HK.64759,恒指瑞银七五熊E.P,10000,WARRANT,BEAR,HK.800000
5182,HK.64760,恒指瑞银七五熊F.P,10000,WARRANT,BEAR,HK.800000
5183,HK.64761,恒指瑞银七六熊F.P,10000,WARRANT,BEAR,HK.800000
5184,HK.64762,恒指瑞银七七熊B.P,10000,WARRANT,BEAR,HK.800000
5185,HK.64766,汇丰法兴八甲牛E.C,4000,WARRANT,BULL,HK.00005
5186,HK.64767,港交瑞银七十牛D.C,10000,WARRANT,BULL,HK.00388
5187,HK.64768,A中法兴七七熊A.P,1000,WARRANT,BEAR,HK.02823
5188,HK.64778,神华瑞信七乙牛B.C,5000,WARRANT,BULL,HK.01088
5189,HK.64780,腾讯东亚七乙牛E.C,10000,WARRANT,BULL,HK.00700
5190,HK.64791,腾讯瑞信七甲熊B.P,10000,WARRANT,BEAR,HK.00700
5191,HK.64793,汇丰瑞信七甲牛E.C,4000,WARRANT,BULL,HK.00005
5192,HK.64796,汇丰瑞信七乙熊A.P,4000,WARRANT,BEAR,HK.00005
5193,HK.64798,港交瑞信七甲熊B.P,10000,WARRANT,BEAR,HK.00388
5194,HK.64803,中企瑞信七九熊A.P,10000,WARRANT,BEAR,HK.800100
5195,HK.64807,恒指法兴七六熊R.P,10000,WARRANT,BEAR,HK.800000
5196,HK.64808,恒指法兴七六熊S.P,10000,WARRANT,BEAR,HK.800000
5197,HK.64809,恒指法兴七六熊T.P,10000,WARRANT,BEAR,HK.800000
5198,HK.64810,中联摩通七七牛A.C,2000,WARRANT,BULL,HK.00762
5199,HK.64830,汇丰摩通七甲牛G.C,4000,WARRANT,BULL,HK.00005
5200,HK.64834,腾讯摩通七甲熊J.P,1000,WARRANT,BEAR,HK.00700
5201,HK.64843,中企摩通七五熊C.P,10000,WARRANT,BEAR,HK.800100
5202,HK.64849,恒指摩通七五熊I.P,10000,WARRANT,BEAR,HK.800000
5203,HK.64851,恒指摩通七五熊B.P,10000,WARRANT,BEAR,HK.800000
5204,HK.64852,恒指摩通七五熊J.P,10000,WARRANT,BEAR,HK.800000
5205,HK.64853,恒指摩通七五熊L.P,10000,WARRANT,BEAR,HK.800000
5206,HK.64854,恒指摩通七七熊G.P,10000,WARRANT,BEAR,HK.800000
5207,HK.64873,建行瑞银七十牛A.C,10000,WARRANT,BULL,HK.00939
5208,HK.64876,中企瑞银七五熊C.P,10000,WARRANT,BEAR,HK.800100
5209,HK.64877,恒指瑞银七五熊H.P,10000,WARRANT,BEAR,HK.800000
5210,HK.64878,恒指瑞银七五熊A.P,10000,WARRANT,BEAR,HK.800000
5211,HK.64882,恒指瑞银七六熊G.P,10000,WARRANT,BEAR,HK.800000
5212,HK.64884,港交法兴七八熊B.P,10000,WARRANT,BEAR,HK.00388
5213,HK.64887,南中汇丰七八熊A.P,2000,WARRANT,BEAR,HK.02822
5214,HK.64892,友邦瑞信七甲牛C.C,2000,WARRANT,BULL,HK.01299
5215,HK.64893,A中汇丰七八熊A.P,1000,WARRANT,BEAR,HK.02823
5216,HK.64895,友邦瑞信七甲牛D.C,2000,WARRANT,BULL,HK.01299
5217,HK.64899,恒指高盛七五熊Y.P,10000,WARRANT,BEAR,HK.800000
5218,HK.64902,恒指高盛七五熊Z.P,10000,WARRANT,BEAR,HK.800000
5219,HK.64903,恒指高盛七五熊A.P,10000,WARRANT,BEAR,HK.800000
5220,HK.64904,恒指高盛七五熊B.P,10000,WARRANT,BEAR,HK.800000
5221,HK.64910,友邦法兴七乙牛A.C,2000,WARRANT,BULL,HK.01299
5222,HK.64914,吉利法兴七甲牛D.C,5000,WARRANT,BULL,HK.00175
5223,HK.64922,友邦摩通七乙牛B.C,2000,WARRANT,BULL,HK.01299
5224,HK.64933,港交汇丰八三熊A.P,10000,WARRANT,BEAR,HK.00388
5225,HK.64934,友邦汇丰八三熊A.P,20000,WARRANT,BEAR,HK.01299
5226,HK.64936,友邦汇丰七十牛A.C,20000,WARRANT,BULL,HK.01299
5227,HK.64938,恒H汇丰八三牛A.C,20000,WARRANT,BULL,HK.02828
5228,HK.64939,恒H汇丰八四熊A.P,20000,WARRANT,BEAR,HK.02828
5229,HK.64946,汇丰瑞银七六熊A.P,4000,WARRANT,BEAR,HK.00005
5230,HK.64957,海油摩通七一牛A.C,1000,WARRANT,BULL,HK.00883
5231,HK.64961,恒指法兴七六熊Y.P,10000,WARRANT,BEAR,HK.800000
5232,HK.64962,恒指法兴七七熊S.P,10000,WARRANT,BEAR,HK.800000
5233,HK.64967,恒指摩通七五熊W.P,10000,WARRANT,BEAR,HK.800000
5234,HK.64972,恒指摩通七五熊X.P,10000,WARRANT,BEAR,HK.800000
5235,HK.64974,恒指摩通七五熊Y.P,10000,WARRANT,BEAR,HK.800000
5236,HK.64978,汇丰摩通七九熊B.P,4000,WARRANT,BEAR,HK.00005
5237,HK.64982,吉利法兴七八熊C.P,5000,WARRANT,BEAR,HK.00175
5238,HK.64989,腾讯法兴七甲牛F.C,10000,WARRANT,BULL,HK.00700
5239,HK.65004,中联汇丰七六牛B.C,20000,WARRANT,BULL,HK.00762
5240,HK.65007,汇丰瑞信七六熊B.P,4000,WARRANT,BEAR,HK.00005
5241,HK.65020,汇丰摩通七九熊C.P,4000,WARRANT,BEAR,HK.00005
5242,HK.65021,汇丰摩通七十熊B.P,4000,WARRANT,BEAR,HK.00005
5243,HK.65027,中企瑞银七六熊B.P,10000,WARRANT,BEAR,HK.800100
5244,HK.65054,恒指法兴七七熊V.P,10000,WARRANT,BEAR,HK.800000
5245,HK.65055,恒指法兴七七熊W.P,10000,WARRANT,BEAR,HK.800000
5246,HK.65056,恒指法兴七七熊X.P,10000,WARRANT,BEAR,HK.800000
5247,HK.65058,恒指法兴七八熊E.P,10000,WARRANT,BEAR,HK.800000
5248,HK.65060,恒指法兴七八熊F.P,10000,WARRANT,BEAR,HK.800000
5249,HK.65061,恒指法兴七八熊G.P,10000,WARRANT,BEAR,HK.800000
5250,HK.65063,汇丰摩通七九熊A.P,4000,WARRANT,BEAR,HK.00005
5251,HK.65065,新地汇丰八一牛D.C,100000,WARRANT,BULL,HK.00016
5252,HK.65066,A中摩通七甲熊A.P,1000,WARRANT,BEAR,HK.02823
5253,HK.65067,南中摩通七甲熊A.P,2000,WARRANT,BEAR,HK.02822
5254,HK.65068,新地汇丰八一熊A.P,100000,WARRANT,BEAR,HK.00016
5255,HK.65076,金沙东亚七乙牛A.C,4000,WARRANT,BULL,HK.01928
5256,HK.65088,恒指法兴七七熊Z.P,10000,WARRANT,BEAR,HK.800000
5257,HK.65091,恒指法兴七八熊I.P,10000,WARRANT,BEAR,HK.800000
5258,HK.65109,恒指摩通七七熊I.P,10000,WARRANT,BEAR,HK.800000
5259,HK.65110,恒指摩通七七熊J.P,10000,WARRANT,BEAR,HK.800000
5260,HK.65114,恒指瑞信八一牛W.C,10000,WARRANT,BULL,HK.800000
5261,HK.65121,港交汇丰七甲牛E.C,10000,WARRANT,BULL,HK.00388
5262,HK.65122,汇丰瑞信七九熊B.P,4000,WARRANT,BEAR,HK.00005
5263,HK.65132,恒指瑞银七六熊J.P,10000,WARRANT,BEAR,HK.800000
5264,HK.65134,恒指瑞银七六熊K.P,10000,WARRANT,BEAR,HK.800000
5265,HK.65147,平安东亚七十牛A.C,5000,WARRANT,BULL,HK.02318
5266,HK.65151,恒指法巴八二熊D.P,10000,WARRANT,BEAR,HK.800000
5267,HK.65153,长和东亚七甲牛A.C,50000,WARRANT,BULL,HK.00001
5268,HK.65154,恒指海通七乙牛D.C,10000,WARRANT,BULL,HK.800000
5269,HK.65156,恒指法巴八二熊E.P,10000,WARRANT,BEAR,HK.800000
5270,HK.65157,恒指法巴八二熊F.P,10000,WARRANT,BEAR,HK.800000
5271,HK.65158,恒指法巴八二熊G.P,10000,WARRANT,BEAR,HK.800000
5272,HK.65159,恒指法巴八二熊H.P,10000,WARRANT,BEAR,HK.800000
5273,HK.65168,银河摩通七甲牛F.C,10000,WARRANT,BULL,HK.00027
5274,HK.65173,恒指摩通七七熊K.P,10000,WARRANT,BEAR,HK.800000
5275,HK.65175,恒指摩通七七熊L.P,10000,WARRANT,BEAR,HK.800000
5276,HK.65185,中移汇丰八一熊A.P,50000,WARRANT,BEAR,HK.00941
5277,HK.65186,中移汇丰八三熊A.P,50000,WARRANT,BEAR,HK.00941
5278,HK.65190,恒指汇丰七甲熊G.P,10000,WARRANT,BEAR,HK.800000
5279,HK.65191,恒指高盛七六熊B.P,10000,WARRANT,BEAR,HK.800000
5280,HK.65195,友邦汇丰七乙牛A.C,20000,WARRANT,BULL,HK.01299
5281,HK.65199,恒指高盛七六熊C.P,10000,WARRANT,BEAR,HK.800000
5282,HK.65201,金沙汇丰七乙牛A.C,40000,WARRANT,BULL,HK.01928
5283,HK.65212,汇丰麦银八一熊A.P,40000,WARRANT,BEAR,HK.00005
5284,HK.65225,银河摩通八一牛B.C,10000,WARRANT,BULL,HK.00027
5285,HK.65238,恒指法巴八二熊I.P,10000,WARRANT,BEAR,HK.800000
5286,HK.65240,腾讯海通八二牛A.C,10000,WARRANT,BULL,HK.00700
5287,HK.65241,建行海通八二牛A.C,10000,WARRANT,BULL,HK.00939
5288,HK.65243,长和海通八二牛A.C,50000,WARRANT,BULL,HK.00001
5289,HK.65250,新地海通八二牛A.C,100000,WARRANT,BULL,HK.00016
5290,HK.65251,中移海通八二牛A.C,50000,WARRANT,BULL,HK.00941
5291,HK.65253,海油汇丰八三牛A.C,10000,WARRANT,BULL,HK.00883
5292,HK.65257,金沙汇丰八三牛C.C,40000,WARRANT,BULL,HK.01928
5293,HK.65258,港交汇丰八三熊B.P,10000,WARRANT,BEAR,HK.00388
5294,HK.65264,金沙摩通七甲牛B.C,4000,WARRANT,BULL,HK.01928
5295,HK.65265,恒指法兴七九熊B.P,10000,WARRANT,BEAR,HK.800000
5296,HK.65266,腾讯汇丰七九牛A.C,10000,WARRANT,BULL,HK.00700
5297,HK.65268,腾讯摩通七甲牛G.C,1000,WARRANT,BULL,HK.00700
5298,HK.65279,中油汇丰七乙牛A.C,20000,WARRANT,BULL,HK.00857
5299,HK.65280,恒指法兴八七牛D.C,10000,WARRANT,BULL,HK.800000
5300,HK.65281,恒指法兴八七牛E.C,10000,WARRANT,BULL,HK.800000
5301,HK.65288,建行汇丰七十牛B.C,10000,WARRANT,BULL,HK.00939
5302,HK.65297,港交摩通七乙熊A.P,1000,WARRANT,BEAR,HK.00388
5303,HK.65299,海油摩通八一牛A.C,1000,WARRANT,BULL,HK.00883
5304,HK.65304,恒指瑞银七乙牛S.C,10000,WARRANT,BULL,HK.800000
5305,HK.65306,恒指瑞银七六熊O.P,10000,WARRANT,BEAR,HK.800000
5306,HK.65311,腾讯麦银七九牛A.C,10000,WARRANT,BULL,HK.00700
5307,HK.65330,长和汇丰八三牛A.C,50000,WARRANT,BULL,HK.00001
5308,HK.65335,长和东亚七甲牛B.C,50000,WARRANT,BULL,HK.00001
5309,HK.65338,腾讯东亚七甲牛B.C,10000,WARRANT,BULL,HK.00700
5310,HK.65340,港交东亚七甲牛C.C,10000,WARRANT,BULL,HK.00388
5311,HK.65363,腾讯瑞信七七牛C.C,10000,WARRANT,BULL,HK.00700
5312,HK.65395,恒指瑞信七四熊A.P,10000,WARRANT,BEAR,HK.800000
5313,HK.65415,海油汇丰八三熊A.P,10000,WARRANT,BEAR,HK.00883
5314,HK.65416,银河汇丰八二牛A.C,100000,WARRANT,BULL,HK.00027
5315,HK.65423,银河瑞信七乙牛D.C,10000,WARRANT,BULL,HK.00027
5316,HK.65424,银河摩通七十牛A.C,10000,WARRANT,BULL,HK.00027
5317,HK.65431,金沙摩通七八牛A.C,4000,WARRANT,BULL,HK.01928
5318,HK.65436,恒指法兴七十熊B.P,10000,WARRANT,BEAR,HK.800000
5319,HK.65438,恒指法兴七十熊C.P,10000,WARRANT,BEAR,HK.800000
5320,HK.65443,恒指法兴七甲熊A.P,10000,WARRANT,BEAR,HK.800000
5321,HK.65444,恒指法兴八八牛D.C,10000,WARRANT,BULL,HK.800000
5322,HK.65446,恒指法兴八十牛A.C,10000,WARRANT,BULL,HK.800000
5323,HK.65449,恒指法兴八十牛B.C,10000,WARRANT,BULL,HK.800000
5324,HK.65451,中寿摩通七九牛A.C,1000,WARRANT,BULL,HK.02628
