,code,name,lot_size,stock_type,stock_child_type,owner_stock_code,listing_date
2547,HK.16172,海油海通七乙购A.C,1000,WARRANT,CALL,HK.00883,2017-05-29
2548,HK.16173,腾讯海通八六购B.C,10000,WARRANT,CALL,HK.00700,2017-05-29
2549,HK.16174,腾讯海通八三购C.C,10000,WARRANT,CALL,HK.00700,2017-05-29
2550,HK.16175,港铁瑞银七甲购A.C,5000,WARRANT,CALL,HK.00066,2017-05-29
2551,HK.16176,美图瑞银七甲购B.C,5000,WARRANT,CALL,HK.01357,2017-05-29
2552,HK.16177,平安瑞银七甲购C.C,5000,WARRANT,CALL,HK.02318,2017-05-29
2553,HK.16178,中化瑞银七十购A.C,2000,WARRANT,CALL,HK.00386,2017-05-29
2554,HK.16179,中移瑞信七六购B.C,5000,WARRANT,CALL,HK.00941,2017-01-04
2555,HK.16181,美图法兴七甲购B.C,5000,WARRANT,CALL,HK.01357,2017-05-29
2556,HK.16182,腾讯法兴七甲购G.C,1000,WARRANT,CALL,HK.00700,2017-05-29
2557,HK.16183,腾讯法兴八四购D.C,10000,WARRANT,CALL,HK.00700,2017-05-29
2558,HK.16186,人保瑞信八一购A.C,1000,WARRANT,CALL,HK.01339,2017-05-29
2559,HK.16188,国材瑞信七乙购A.C,2000,WARRANT,CALL,HK.03323,2017-05-29
2560,HK.16190,平安瑞信七甲沽A.P,5000,WARRANT,PUT,HK.02318,2017-05-29
2561,HK.16193,平安高盛七乙购A.C,5000,WARRANT,CALL,HK.02318,2017-05-29
2562,HK.16194,平安摩通八二购A.C,5000,WARRANT,CALL,HK.02318,2017-05-29
2563,HK.16195,平安摩通七乙沽B.P,5000,WARRANT,PUT,HK.02318,2017-05-29
2564,HK.16197,腾讯瑞信七七购F.C,1000,WARRANT,CALL,HK.00700,2017-01-04
2565,HK.16198,腾讯摩通七乙沽F.P,10000,WARRANT,PUT,HK.00700,2017-05-29
2566,HK.16199,腾讯摩通八三沽E.P,10000,WARRANT,PUT,HK.00700,2017-05-29
2567,HK.16201,腾讯摩通七乙购G.C,1000,WARRANT,CALL,HK.00700,2017-05-29
2568,HK.16202,腾讯摩通七十购E.C,1000,WARRANT,CALL,HK.00700,2017-05-29
2569,HK.16203,恒指摩通七乙沽E.P,10000,WARRANT,PUT,HK.800000,2017-05-29
2570,HK.16204,中油瑞信七六购B.C,2000,WARRANT,CALL,HK.00857,2017-01-04
2571,HK.16205,恒指摩通八二购A.C,10000,WARRANT,CALL,HK.800000,2017-05-29
2572,HK.16206,港铁摩通八二购A.C,5000,WARRANT,CALL,HK.00066,2017-05-29
2573,HK.16207,友邦瑞信七十购A.C,2000,WARRANT,CALL,HK.01299,2017-01-04
2574,HK.16208,腾讯中银七乙购E.C,10000,WARRANT,CALL,HK.00700,2017-05-31
2575,HK.16209,港交瑞信七十沽B.P,10000,WARRANT,PUT,HK.00388,2017-01-04
2576,HK.16210,腾讯中银七十购G.C,1000,WARRANT,CALL,HK.00700,2017-05-31
2577,HK.16211,腾讯中银八三购A.C,1000,WARRANT,CALL,HK.00700,2017-05-31
2578,HK.16212,腾讯中银七甲沽D.P,10000,WARRANT,PUT,HK.00700,2017-05-31
2579,HK.16214,中寿法兴七乙沽D.P,10000,WARRANT,PUT,HK.02628,2017-05-31
2580,HK.16215,平安法兴七乙沽C.P,5000,WARRANT,PUT,HK.02318,2017-05-31
2581,HK.16217,平安法巴八七购B.C,5000,WARRANT,CALL,HK.02318,2017-05-31
2582,HK.16218,舜光瑞信七七购A.C,10000,WARRANT,CALL,HK.02382,2017-01-04
2583,HK.16219,腾讯麦银九七购A.C,10000,WARRANT,CALL,HK.00700,2017-05-31
2584,HK.16220,腾讯麦银八一沽B.P,10000,WARRANT,PUT,HK.00700,2017-05-31
2585,HK.16221,招行麦银八乙购A.C,5000,WARRANT,CALL,HK.03968,2017-05-31
2586,HK.16225,腾讯瑞银七乙购A.C,10000,WARRANT,CALL,HK.00700,2017-05-31
2587,HK.16226,腾讯瑞银七九购D.C,1000,WARRANT,CALL,HK.00700,2017-05-31
2588,HK.16227,平安瑞银七乙沽A.P,5000,WARRANT,PUT,HK.02318,2017-05-31
2589,HK.16228,港铁瑞银七乙沽A.P,5000,WARRANT,PUT,HK.00066,2017-05-31
2590,HK.16229,吉利法兴八二购B.C,50000,WARRANT,CALL,HK.00175,2017-05-31
2591,HK.16230,平安法兴八一购A.C,5000,WARRANT,CALL,HK.02318,2017-05-31
2592,HK.16231,腾讯法兴七乙购F.C,10000,WARRANT,CALL,HK.00700,2017-05-31
2593,HK.16232,招行法兴七乙购A.C,500,WARRANT,CALL,HK.03968,2017-05-31
2594,HK.16233,人保法兴七乙购A.C,1000,WARRANT,CALL,HK.01339,2017-05-31
2595,HK.16234,工行汇丰七甲购A.C,1000,WARRANT,CALL,HK.01398,2017-05-31
2596,HK.16235,中行汇丰八一购A.C,1000,WARRANT,CALL,HK.03988,2017-05-31
2597,HK.16236,腾讯汇丰七十购E.C,1000,WARRANT,CALL,HK.00700,2017-05-31
2598,HK.16237,平安汇丰七九购C.C,5000,WARRANT,CALL,HK.02318,2017-05-31
2599,HK.16238,吉利汇丰八二购B.C,50000,WARRANT,CALL,HK.00175,2017-05-31
